,climate_change,pro_cars,carnivore_tax,preserve_forests,austerity,basic_income,pro_euro,public_sohe_services,privatize_eldercare,euthanasy,gender_change_under18,wines_to_supermarkets,forbid_energydrinks_u15,decrease_snus_import,equal_parental_leave,extend_education,fshift_summer_vacay,uni_qualvquant,immigrants_dangerous,immigrants_needed,nato_membership,hatespeech_criminalize,traditional_values,hard_police,econ_inequality,individual_responsibility,voter_loyalty,principles
1122,5.0,1.0,1.0,4.0,2.0,4.0,5.0,1.0,2.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,4.0,4.0
1124,5.0,1.0,2.0,4.0,2.0,4.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,1.0,2.0,4.0,4.0,5.0,1.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,4.0
1125,5.0,1.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
1133,2.0,4.0,2.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,4.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0
1134,4.0,4.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,5.0,5.0
1135,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
1136,5.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,5.0,5.0
1140,2.0,5.0,5.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,5.0,5.0
1151,5.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0
1217,5.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
1232,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
1251,4.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,5.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0
