,id,party,party_name,party_id,position,eu_salience,eu_dissent,eu_blur,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,party_a_econ,party_b_econ,party_c_econ,gender,dob,lrecon_self,galtan_self,cname,eu_position_sd,lrecon_sd,galtan_sd,eu_econ_require,eu_political_require,eu_googov_require
346,10,11,MB 365,3117,5.0,3.0,,,7,7,,6.0,8,,5.0,3.0,6.0,6.0,2.0,1.0,7.0,1.0,,3.0,2.0,5.0,2.0,4.0,3.0,,5.0,7.0,7.0,7.0,6.0,4.0,7.0,1.0,1.0,3,8.0,8.0,2.0,10.0,7.0,,,,,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
347,10,12,NS-R,3118,,,,,5,,,,4,,1.0,3.0,3.0,,1.0,,,,,5.0,2.0,,1.0,6.0,6.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1,2.0,3.0,4.0,8.0,7.0,,,,,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
348,10,13,IDS,3106,7.0,9.0,0.0,,3,1,,4.0,0,,0.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,0.0,5.0,2.0,3.0,4.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,1,2.0,0.0,3.0,10.0,7.0,6.0,6.0,5.0,6.0,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
349,10,14,HKS,3119,3.0,7.0,0.0,,9,2,,3.0,10,,0.0,10.0,10.0,10.0,9.0,0.0,10.0,6.0,0.0,6.0,3.0,8.0,3.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,3.0,7.0,1.0,7,9.0,9.0,7.0,7.0,7.0,1.0,3.0,1.0,1.0,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
350,11,1,HDZ,3101,7.0,10.0,,0.0,7,1,,5.0,9,8.0,,10.0,6.0,10.0,7.0,2.0,10.0,5.0,2.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,2,5.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,8,6.0,2.0,1962.0,3.0,3.0,,,,,,,
351,11,2,SDP,3102,7.0,10.0,,0.0,5,1,,5.0,4,5.0,,10.0,4.0,7.0,7.0,3.0,8.0,5.0,2.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,0,5.0,2.0,7.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,8,6.0,2.0,1962.0,3.0,3.0,,,,,,,
352,11,3,Most,3115,2.0,5.0,,0.0,10,8,,2.0,10,10.0,,10.0,9.0,10.0,10.0,0.0,10.0,8.0,0.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,7.0,10.0,10.0,10.0,10.0,7.0,9.0,4.0,9.0,9,10.0,10.0,10.0,10.0,5.0,1.0,1.0,1.0,1.0,3.0,8,6.0,2.0,1962.0,3.0,3.0,,,,,,,
353,11,4,HNS,3105,7.0,10.0,,0.0,5,0,,10.0,2,10.0,,10.0,5.0,5.0,7.0,3.0,5.0,5.0,2.0,10.0,1.0,8.0,3.0,10.0,10.0,10.0,5.0,1.0,0.0,5.0,3.0,1.0,2.0,4.0,5.0,0,3.0,0.0,0.0,10.0,5.0,4.0,6.0,4.0,5.0,3.0,8,6.0,2.0,1962.0,3.0,3.0,,,,,,,
354,11,5,HSS,3103,7.0,8.0,,0.0,4,6,,5.0,5,5.0,,8.0,5.0,7.0,7.0,3.0,5.0,5.0,2.0,5.0,7.0,3.0,8.0,5.0,3.0,3.0,5.0,4.0,2.0,5.0,3.0,9.0,9.0,4.0,5.0,0,5.0,5.0,7.0,10.0,5.0,4.0,1.0,3.0,5.0,3.0,8,6.0,2.0,1962.0,3.0,3.0,,,,,,,
355,11,6,HSLS,3104,7.0,5.0,,1.0,5,0,,10.0,2,9.0,,9.0,5.0,8.0,7.0,3.0,5.0,5.0,2.0,10.0,1.0,8.0,3.0,10.0,10.0,10.0,5.0,2.0,2.0,5.0,4.0,1.0,2.0,4.0,6.0,0,3.0,2.0,0.0,10.0,4.0,4.0,6.0,4.0,5.0,3.0,8,6.0,2.0,1962.0,3.0,3.0,,,,,,,
